station,date,AWND,FMTM,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT05,WT08,WT10
USW00093184,2022-10-02,18.0,,,0.0,,,,261.0,206.0,,200.0,220.0,63.0,85.0,,,,,,
USW00093184,2022-10-03,16.0,,,0.0,,,,261.0,200.0,,220.0,230.0,45.0,67.0,,,,,,
USW00093184,2022-10-04,23.0,,,0.0,,,,267.0,194.0,,190.0,210.0,58.0,76.0,,,,,,
USW00093184,2022-10-05,22.0,,,0.0,,,,267.0,217.0,,200.0,200.0,58.0,72.0,,,,,1.0,
USW00093184,2022-10-06,22.0,,,0.0,,,,256.0,,,190.0,200.0,58.0,81.0,,,,,,
USW00093184,2022-10-07,19.0,,,0.0,,,,272.0,211.0,,190.0,200.0,63.0,85.0,,,,,1.0,
USW00093184,2022-10-08,20.0,,,0.0,,,,267.0,211.0,,200.0,210.0,45.0,67.0,,,,,,
USW00093184,2022-10-09,17.0,,,0.0,,,,256.0,206.0,,200.0,200.0,76.0,85.0,,,,,,
USW00093184,2022-10-10,19.0,,,0.0,,,,261.0,206.0,,190.0,190.0,58.0,76.0,,,,,,
USW00093184,2022-10-11,20.0,,,3.0,,,,239.0,206.0,,210.0,210.0,45.0,76.0,,,1.0,,,
USW00093184,2022-10-12,16.0,,,23.0,,,,256.0,206.0,,240.0,210.0,54.0,72.0,,,1.0,,,
USW00093184,2022-10-13,18.0,,,0.0,,,,233.0,200.0,,210.0,230.0,54.0,63.0,1.0,,,,1.0,
USW00093184,2022-10-14,19.0,,,0.0,,,,222.0,194.0,,200.0,210.0,45.0,58.0,1.0,,,,1.0,
USW00093184,2022-10-15,26.0,,,64.0,,,,233.0,189.0,,20.0,50.0,72.0,85.0,,,1.0,,1.0,
USW00093184,2022-10-16,9.0,,,0.0,,,,239.0,189.0,,340.0,350.0,36.0,67.0,1.0,,,,1.0,
USW00093184,2022-10-17,12.0,,,0.0,,,,261.0,167.0,,230.0,210.0,54.0,72.0,,,,,1.0,
USW00093184,2022-10-18,11.0,,,0.0,,,,306.0,183.0,,210.0,200.0,54.0,67.0,,,,,,
USW00093184,2022-10-19,15.0,,,0.0,,,,350.0,189.0,,200.0,200.0,72.0,85.0,,,,,,
USW00093184,2022-10-20,20.0,,,0.0,,,,322.0,211.0,,210.0,210.0,58.0,76.0,,,,,,
USW00093184,2022-10-21,27.0,,,0.0,,,,250.0,189.0,,210.0,210.0,72.0,85.0,,,,,,
USW00093184,2022-10-22,30.0,,,0.0,,,,228.0,189.0,,200.0,210.0,76.0,89.0,,,,,,
USW00093184,2022-10-23,25.0,,,0.0,,,,228.0,167.0,,200.0,190.0,72.0,89.0,,,,,,
USW00093184,2022-10-24,26.0,,,0.0,,,,267.0,144.0,,50.0,100.0,98.0,130.0,,,,,,
USW00093184,2022-10-25,15.0,,,0.0,,,,250.0,133.0,,200.0,210.0,54.0,67.0,,,,,,
USW00093184,2022-10-26,21.0,,,0.0,,,,233.0,150.0,,190.0,190.0,63.0,72.0,,,,,,
USW00093184,2022-10-27,16.0,,,0.0,,,,239.0,156.0,,190.0,210.0,58.0,85.0,,,,,,
USW00093184,2022-10-28,13.0,,,0.0,,,,250.0,150.0,,220.0,250.0,54.0,63.0,1.0,,,,1.0,
USW00093184,2022-10-29,13.0,,,0.0,,,,244.0,144.0,,210.0,200.0,58.0,81.0,,,,,,
USW00093184,2022-10-30,13.0,,,0.0,,,,261.0,139.0,,190.0,190.0,45.0,58.0,,,,,,
USW00093184,2022-10-31,13.0,,,0.0,,,,256.0,139.0,,200.0,180.0,58.0,67.0,,,,,,
USW00093184,2022-11-01,38.0,,,0.0,,,,233.0,178.0,,180.0,180.0,81.0,107.0,,,,,,
USW00093184,2022-11-02,33.0,,,33.0,,,,211.0,156.0,,260.0,260.0,58.0,94.0,1.0,,,,,
USW00093184,2022-11-03,26.0,,,0.0,,,,194.0,122.0,,220.0,210.0,81.0,107.0,,,,,,
USW00093184,2022-11-04,16.0,,,0.0,,,,206.0,100.0,,200.0,210.0,54.0,72.0,,,,,,
USW00093184,2022-11-05,12.0,,,0.0,,,,222.0,106.0,,210.0,220.0,45.0,63.0,,,,,,
USW00093184,2022-11-06,21.0,,,0.0,,,,211.0,122.0,,210.0,200.0,45.0,63.0,,,,,,
USW00093184,2022-11-07,33.0,,,15.0,,,,211.0,156.0,,180.0,170.0,89.0,107.0,,,,,1.0,
USW00093184,2022-11-08,47.0,,,244.0,,,,211.0,133.0,,170.0,170.0,125.0,174.0,,,,,1.0,
USW00093184,2022-11-09,16.0,,,23.0,,,,183.0,122.0,,320.0,310.0,63.0,94.0,,,,,,
USW00093184,2022-11-10,10.0,,,0.0,,,,200.0,94.0,,220.0,210.0,40.0,54.0,,,,,,
USW00093184,2022-11-11,13.0,,,0.0,,,,222.0,89.0,,200.0,200.0,58.0,72.0,,,,,,
USW00093184,2022-11-12,17.0,,,0.0,,,,200.0,89.0,,200.0,190.0,58.0,72.0,,,,,,
USW00093184,2022-11-13,16.0,,,0.0,,,,206.0,111.0,,200.0,180.0,58.0,72.0,,,,,,
USW00093184,2022-11-14,12.0,,,0.0,,,,217.0,100.0,,210.0,220.0,40.0,54.0,,,,,,
USW00093184,2022-11-15,18.0,,,0.0,,,,222.0,94.0,,70.0,80.0,76.0,107.0,,,,,,
USW00093184,2022-11-16,60.0,,,0.0,,,,256.0,156.0,,60.0,60.0,116.0,161.0,,,,,,
USW00093184,2022-11-17,17.0,,,0.0,,,,261.0,100.0,,200.0,200.0,58.0,67.0,,,,,1.0,
USW00093184,2022-11-18,15.0,,,0.0,,,,206.0,100.0,,210.0,210.0,54.0,63.0,,,,,,
USW00093184,2022-11-19,33.0,,,0.0,,,,261.0,117.0,,60.0,80.0,76.0,116.0,,,,,1.0,
USW00093184,2022-11-20,10.0,,,0.0,,,,272.0,94.0,,230.0,210.0,54.0,67.0,,,,,,
USW00093184,2022-11-21,8.0,,,0.0,,,,256.0,100.0,,230.0,210.0,40.0,54.0,,,,,,
USW00093184,2022-11-22,9.0,,,0.0,,,,239.0,100.0,,200.0,190.0,45.0,54.0,,,,,,
USW00093184,2022-11-23,13.0,,,0.0,,,,211.0,89.0,,200.0,190.0,54.0,63.0,,,,,,
USW00093184,2022-11-24,41.0,,,0.0,,,,278.0,94.0,,60.0,60.0,116.0,165.0,,,,,,
USW00093184,2022-11-25,13.0,,,0.0,,,,267.0,100.0,,350.0,360.0,58.0,72.0,,,,,,
USW00093184,2022-11-26,15.0,,,0.0,,,,211.0,94.0,,220.0,240.0,58.0,76.0,,,,,,
USW00093184,2022-11-27,12.0,,,0.0,,,,222.0,94.0,,220.0,110.0,45.0,58.0,,,,,,
USW00093184,2022-11-28,34.0,,,0.0,,,,183.0,139.0,,180.0,160.0,67.0,85.0,,,,,,
USW00093184,2022-11-29,22.0,,,0.0,,,,194.0,128.0,,190.0,190.0,67.0,85.0,,,,,,
USW00093184,2022-11-30,27.0,,,0.0,,,,189.0,117.0,,160.0,180.0,72.0,98.0,,,,,,
USW00093184,2022-12-01,28.0,,,0.0,,,,183.0,144.0,,210.0,200.0,67.0,98.0,,,,,,
USW00093184,2022-12-02,16.0,,,3.0,,,,194.0,128.0,,90.0,100.0,45.0,76.0,,,,,1.0,
USW00093184,2022-12-03,5.0,,,0.0,,,,228.0,117.0,,220.0,230.0,40.0,49.0,,,,,1.0,
USW00093184,2022-12-04,9.0,,,5.0,,,,211.0,122.0,,210.0,10.0,45.0,76.0,1.0,1.0,,,1.0,
USW00093184,2022-12-05,18.0,,,20.0,,,,189.0,133.0,,210.0,220.0,54.0,72.0,1.0,1.0,,,1.0,
USW00093184,2022-12-06,20.0,,,3.0,,,,172.0,122.0,,210.0,180.0,54.0,67.0,,,,,,
USW00093184,2022-12-07,11.0,,,0.0,,,,183.0,100.0,,200.0,180.0,54.0,67.0,,,,,,
USW00093184,2022-12-08,13.0,,,0.0,,,,183.0,83.0,,230.0,360.0,45.0,67.0,,,,,,
USW00093184,2022-12-09,10.0,,,0.0,,,,172.0,78.0,,200.0,170.0,45.0,63.0,,,,,,
USW00093184,2022-12-10,23.0,,,0.0,,,,189.0,94.0,,200.0,200.0,58.0,67.0,,,,,,
USW00093184,2022-12-11,34.0,,,226.0,,,,161.0,100.0,,190.0,170.0,139.0,192.0,,,,,1.0,
USW00093184,2022-12-12,15.0,,,107.0,,,,133.0,94.0,,210.0,100.0,45.0,72.0,,,1.0,,1.0,
USW00093184,2022-12-13,15.0,,,0.0,,,,161.0,89.0,,210.0,210.0,54.0,67.0,,,,,,
